Lokasyon,m2,Bina Yaşı,Fiyat
Muğla / Menteşe / Emirbeyazıt Mah.,250 m²,50 Yaşında,19.900.000 TL
Muğla / Menteşe / Bayır Mah.,125 m²,20 Yaşında,15.000.000 TL
Muğla / Menteşe / Karamehmet Mah.,145 m²,24 Yaşında,4.650.000 TL
Muğla / Menteşe / Emirbeyazıt Mah.,110 m²,6 Yaşında,6.550.000 TL
Muğla / Menteşe / Karamehmet Mah.,180 m²,13 Yaşında,8.000.000 TL
Muğla / Menteşe / Bayır Mah.,155 m²,Sıfır Bina,11.000.000 TL
Muğla / Menteşe / Kötekli Mah.,50 m²,6 Yaşında,4.200.000 TL
Muğla / Menteşe / Kiramettin Mah.,228 m²,45 Yaşında,4.800.000 TL
Muğla / Menteşe / Karşıyaka Mah.,106 m²,11 Yaşında,4.750.000 TL
Muğla / Menteşe / Orhaniye Mah.,72 m²,7 Yaşında,5.750.000 TL
Muğla / Menteşe / Karamehmet Mah.,170 m²,15 Yaşında,10.250.000 TL
Muğla / Menteşe / Ortaköy Mah.,225 m²,6 Yaşında,30.000.000 TL
Muğla / Menteşe / Gülağzı Mah.,270 m²,6 Yaşında,15.750.000 TL
Muğla / Menteşe / Emirbeyazıt Mah.,110 m²,40 Yaşında,5.750.000 TL
Muğla / Menteşe / Düğerek Mah.,85 m²,2 Yaşında,6.000.000 TL
Muğla / Menteşe / Düğerek Mah.,200 m²,26 Yaşında,12.500.000 TL
Muğla / Menteşe / Dağpınar Mah.,700 m²,16 Yaşında,3.350.000 TL
Muğla / Menteşe / Bayır Mah.,90 m²,Sıfır Bina,4.000.000 TL
Muğla / Menteşe / Muslihittin Mah.,85 m²,Sıfır Bina,8.750.000 TL
Muğla / Menteşe / Yenice Mah.,6.533 m²,16 Yaşında,13.500.000 TL
Muğla / Menteşe / Muslihittin Mah.,130 m²,21 Yaşında,6.800.000 TL
Muğla / Menteşe / Salihpaşalar Mah.,140 m²,25 Yaşında,8.000.000 TL
Muğla / Menteşe / Akçaova Mah.,120 m²,Sıfır Bina,13.000.000 TL
Muğla / Menteşe / Bayır Mah.,55 m²,Sıfır Bina,2.950.000 TL
Muğla / Menteşe / Düğerek Mah.,65 m²,Sıfır Bina,4.650.000 TL
Muğla / Menteşe / Muslihittin Mah.,100 m²,18 Yaşında,5.850.000 TL
Muğla / Menteşe / Bayır Mah.,50 m²,Sıfır Bina,3.450.000 TL
Muğla / Menteşe / Orhaniye Mah.,75 m²,6 Yaşında,6.250.000 TL
Muğla / Menteşe / Orhaniye Mah.,120 m²,40 Yaşında,6.450.000 TL
Muğla / Menteşe / Yeşilyurt Mah.,150 m²,15 Yaşında,16.900.000 TL
Muğla / Menteşe / Bayır Mah.,98 m²,Sıfır Bina,4.150.000 TL
Muğla / Menteşe / Kötekli Mah.,180 m²,25 Yaşında,12.500.000 TL
Muğla / Menteşe / Bayır Mah.,130 m²,Sıfır Bina,5.500.000 TL
Muğla / Menteşe / Kiramettin Mah.,277 m²,35 Yaşında,8.500.000 TL
Muğla / Menteşe / Bayır Mah.,67 m²,Sıfır Bina,3.945.000 TL
Muğla / Menteşe / Orhaniye Mah.,250 m²,38 Yaşında,9.500.000 TL
Muğla / Menteşe / Yeniköy Yerkesik Mah.,490 m²,22 Yaşında,6.200.000 TL
Muğla / Menteşe / Ortaköy Mah.,190 m²,5 Yaşında,45.000.000 TL
Muğla / Menteşe / Orta Mah.,133 m²,31 Yaşında,5.250.000 TL
Muğla / Menteşe / Orhaniye Mah.,220 m²,30 Yaşında,28.990.000 TL
Muğla / Menteşe / Ortaköy Mah.,190 m²,5 Yaşında,44.450.000 TL
Muğla / Menteşe / Orhaniye Mah.,85 m²,13 Yaşında,5.750.000 TL
Muğla / Menteşe / Emirbeyazıt Mah.,120 m²,31 Yaşında,6.750.000 TL
Muğla / Menteşe / Yerkesik Mah.,250 m²,2 Yaşında,40.000.000 TL
Muğla / Menteşe / Muslihittin Mah.,115 m²,Sıfır Bina,11.750.000 TL
Muğla / Menteşe / Kiramettin Mah.,55 m²,1 Yaşında,3.500.000 TL
Muğla / Menteşe / Akkaya Mah.,145 m²,Sıfır Bina,18.000.000 TL
Muğla / Menteşe / Emirbeyazıt Mah.,132 m²,42 Yaşında,7.970.000 TL
Muğla / Menteşe / Şeyh Mah.,104 m²,50 Yaşında,2.000.000 TL
Muğla / Menteşe / Emirbeyazıt Mah.,170 m²,55 Yaşında,5.000.000 TL
Muğla / Menteşe / Karşıyaka Mah.,103 m²,8 Yaşında,4.850.000 TL
Muğla / Menteşe / Karamehmet Mah.,145 m²,14 Yaşında,8.000.000 TL
Muğla / Menteşe / Bayır Mah.,95 m²,Sıfır Bina,4.000.000 TL
Muğla / Menteşe / Karamehmet Mah.,95 m²,Sıfır Bina,9.880.000 TL
Muğla / Menteşe / Bayır Mah.,140 m²,1 Yaşında,5.750.000 TL
Muğla / Menteşe / Muslihittin Mah.,110 m²,39 Yaşında,5.250.000 TL
Muğla / Menteşe / Yenice Mah.,220 m²,4 Yaşında,19.750.000 TL
Muğla / Menteşe / Karamehmet Mah.,130 m²,10 Yaşında,9.500.000 TL
Muğla / Menteşe / Bayır Mah.,100 m²,Sıfır Bina,4.600.000 TL
Muğla / Menteşe / Emirbeyazıt Mah.,60 m²,1 Yaşında,5.700.000 TL
Muğla / Menteşe / Karamehmet Mah.,100 m²,3 Yaşında,6.200.000 TL
Muğla / Menteşe / Kötekli Mah.,55 m²,10 Yaşında,3.600.000 TL
Muğla / Menteşe / Orhaniye Mah.,110 m²,32 Yaşında,5.750.000 TL
Muğla / Menteşe / Ortaköy Mah.,180 m²,Sıfır Bina,30.000.000 TL
Muğla / Menteşe / Orhaniye Mah.,128 m²,35 Yaşında,4.850.000 TL
Muğla / Menteşe / Kötekli Mah.,70 m²,15 Yaşında,3.750.000 TL
Muğla / Menteşe / Bayır Mah.,75 m²,Sıfır Bina,3.750.000 TL
Muğla / Menteşe / Düğerek Mah.,110 m²,Sıfır Bina,6.750.000 TL
Muğla / Menteşe / Şeyh Mah.,44 m²,4 Yaşında,3.950.000 TL
Muğla / Menteşe / Kötekli Mah.,45 m²,3 Yaşında,3.700.000 TL
Muğla / Menteşe / Yenice Mah.,130 m²,20 Yaşında,24.000.000 TL
Muğla / Menteşe / Yerkesik Mah.,286 m²,40 Yaşında,3.300.000 TL
Muğla / Menteşe / Karamehmet Mah.,63 m²,12 Yaşında,3.995.000 TL
Muğla / Menteşe / Balıbey Mah.,160 m²,45 Yaşında,3.950.000 TL
Muğla / Menteşe / Düğerek Mah.,165 m²,Sıfır Bina,8.000.000 TL
Muğla / Menteşe / Bayır Mah.,100 m²,Sıfır Bina,4.000.000 TL
Muğla / Menteşe / Muslihittin Mah.,140 m²,12 Yaşında,7.500.000 TL
Muğla / Menteşe / Hacırüstem Mah.,70 m²,40 Yaşında,3.500.000 TL
Muğla / Menteşe / Bayır Mah.,100 m²,Sıfır Bina,4.750.000 TL
Muğla / Menteşe / Yeniköy Mah.,50 m²,5 Yaşında,3.250.000 TL
Muğla / Menteşe / Akçaova Mah.,145 m²,Sıfır Bina,15.500.000 TL
Muğla / Menteşe / Düğerek Mah.,85 m²,Sıfır Bina,5.750.000 TL
